Geo_Type_Name,Start_Date,Data_Value
CD,12/01/2009,24.73
CD,12/01/2013,17.08
CD,12/01/2016,22.83
CD,12/01/2011,26.65
CD,12/01/2009,28.98
CD,06/01/2020,11.93
CD,06/01/2020,30.6
CD,06/01/2017,27.48
CD,12/01/2013,9.07
CD,12/01/2016,7.92
CD,06/01/2017,9.07
CD,06/01/2018,8.36
CD,06/01/2017,7.91
CD,06/01/2018,7.36
CD,06/01/2020,6.52
CD,06/01/2020,7.12
CD,06/01/2020,7.12
CD,12/01/2009,9.27
CD,12/01/2010,12.43
CD,12/01/2014,9.15
CD,06/01/2020,6.74
CD,12/01/2014,10.76
CD,12/01/2014,10.9
CD,01/01/2021,7.61
CD,12/01/2014,10.98
CD,01/01/2021,7.66
CD,12/01/2010,14.64
CD,12/01/2012,10.9
UHF42,12/01/2009,10.05
UHF42,12/01/2011,9.16
UHF42,12/01/2013,8.87
UHF42,12/01/2011,11.65
UHF42,06/01/2020,7.83
Borough,12/01/2013,10.85
UHF42,06/01/2017,10.19
UHF42,12/01/2011,8
UHF42,12/01/2016,7.37
UHF42,06/01/2017,8.22
UHF42,06/01/2020,6.54
UHF42,06/01/2018,7.76
CD,06/01/2020,7.38
CD,12/01/2009,9.02
CD,12/01/2016,7.17
CD,06/01/2020,6.55
CD,12/01/2016,9.4
CD,06/01/2017,10.85
CD,12/01/2014,27.38
CD,01/01/2021,18.8
CD,12/01/2013,21.21
CD,06/01/2018,16.57
CD,12/01/2009,9.15
UHF34,12/01/2014,26.22
UHF34,01/01/2021,19
UHF34,12/01/2012,22.49
UHF34,12/01/2014,25.54
UHF34,01/01/2017,20.97
UHF34,01/01/2021,18.12
Borough,12/01/2010,28.32
CD,12/01/2012,16.87
CD,01/01/2021,14.09
UHF34,12/01/2013,8.87
UHF34,06/01/2018,8.17
UHF34,06/01/2020,6.74
UHF34,12/01/2009,9.45
UHF34,12/01/2011,8.31
UHF34,06/01/2017,8.54
UHF34,12/01/2016,7.61
UHF34,06/01/2020,6.6
CD,06/01/2017,8.14
CD,12/01/2011,8.04
CD,12/01/2013,8.39
CD,06/01/2017,8.25
CD,12/01/2016,7.4
CD,06/01/2020,6.53
CD,12/01/2011,8.3
CD,12/01/2009,8.86
CD,12/01/2014,8.04
CD,01/01/2017,6.79
CD,01/01/2021,6.26
CD,12/01/2014,8.12
CD,01/01/2017,6.85
CD,01/01/2021,6.27
Borough,12/01/2016,7.95
Borough,06/01/2020,6.87
CD,06/01/2009,9.67
UHF42,06/01/2020,7.22
UHF42,06/01/2018,8.25
UHF42,12/01/2013,9.49
CD,06/01/2009,10.37
CD,12/01/2010,13.35
CD,12/01/2012,8.66
CD,12/01/2012,8.26
CD,01/01/2017,7.08
CD,01/01/2021,6.33
CD,12/01/2016,7.95
CD,12/01/2011,8.21
CD,12/01/2009,9.48
CD,12/01/2013,8.22
CD,06/01/2009,22.9
CD,06/01/2017,26.65
CD,12/01/2016,7.57
CD,06/01/2020,6.58
